Timestamp,SessionTime,SessionState,OnPitRoad,InPitStall,Speed,LapLastLapTime,PitRepairLeft,PitOptRepairLeft,PlayerCarTowTime,Trigger
20260608 16:34:18.318,90.983,4,0,0,16.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:19.319,91.983,4,0,0,16.2,0.000,0.00,0.00,0.00,interval
20260608 16:34:20.319,92.983,4,0,0,17.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:21.335,94.000,4,0,0,20.5,0.000,0.00,0.00,0.00,interval
20260608 16:34:22.335,95.000,4,0,0,24.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:23.352,96.017,4,0,0,25.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:24.352,97.017,4,0,0,25.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:25.368,98.033,4,0,0,28.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:26.369,99.033,4,0,0,31.2,0.000,0.00,0.00,0.00,interval
20260608 16:34:27.385,100.050,4,0,0,33.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:28.385,101.050,4,0,0,35.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:29.401,102.067,4,0,0,38.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:30.402,103.067,4,0,0,42.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:31.403,104.067,4,0,0,46.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:32.418,105.083,4,0,0,49.9,0.000,0.00,0.00,0.00,interval
20260608 16:34:33.419,106.083,4,0,0,53.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:34.435,107.100,4,0,0,55.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:35.436,108.100,4,0,0,58.2,0.000,0.00,0.00,0.00,interval
20260608 16:34:36.451,109.117,4,0,0,57.9,0.000,0.00,0.00,0.00,interval
20260608 16:34:37.451,110.117,4,0,0,44.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:38.451,111.117,4,0,0,39.5,0.000,0.00,0.00,0.00,interval
20260608 16:34:39.452,112.117,4,0,0,40.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:40.469,113.133,4,0,0,42.4,0.000,0.00,0.00,0.00,interval
20260608 16:34:41.485,114.150,4,0,0,36.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:42.486,115.150,4,0,0,33.5,0.000,0.00,0.00,0.00,interval
20260608 16:34:43.503,116.167,4,0,0,33.4,0.000,0.00,0.00,0.00,interval
20260608 16:34:44.519,117.183,4,0,0,36.9,0.000,0.00,0.00,0.00,interval
20260608 16:34:45.520,118.183,4,0,0,40.2,0.000,0.00,0.00,0.00,interval
20260608 16:34:46.521,119.183,4,0,0,42.4,0.000,0.00,0.00,0.00,interval
20260608 16:34:47.536,120.200,4,0,0,40.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:48.536,121.200,4,0,0,35.1,0.000,0.00,0.00,0.00,interval
20260608 16:34:49.536,122.200,4,0,0,31.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:50.537,123.200,4,0,0,29.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:51.553,124.217,4,0,0,30.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:52.554,125.217,4,0,0,29.8,0.000,0.00,0.00,0.00,interval
20260608 16:34:53.569,126.233,4,0,0,20.6,0.000,0.00,0.00,0.00,interval
20260608 16:34:54.586,127.250,4,0,0,18.5,0.000,0.00,0.00,0.00,interval
20260608 16:34:55.586,128.250,4,0,0,25.3,0.000,0.00,0.00,0.00,interval
20260608 16:34:56.603,129.267,4,0,0,31.0,0.000,0.00,0.00,0.00,interval
20260608 16:34:57.603,130.267,4,0,0,36.7,0.000,0.00,0.00,0.00,interval
20260608 16:34:58.603,131.267,4,0,0,41.4,0.000,0.00,0.00,0.00,interval
20260608 16:34:59.620,132.283,4,0,0,45.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:00.635,133.300,4,0,0,49.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:01.636,134.300,4,0,0,52.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:02.637,135.300,4,0,0,55.1,0.000,0.00,0.00,0.00,interval
20260608 16:35:03.652,136.317,4,0,0,57.5,0.000,0.00,0.00,0.00,interval
20260608 16:35:04.653,137.317,4,0,0,59.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:05.670,138.333,4,0,0,61.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:06.686,139.350,4,0,0,63.0,0.000,0.00,0.00,0.00,interval
20260608 16:35:07.703,140.367,4,0,0,64.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:08.720,141.383,4,0,0,65.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:09.720,142.383,4,0,0,66.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:10.736,143.400,4,0,0,67.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:11.737,144.400,4,0,0,59.5,0.000,0.00,0.00,0.00,interval
20260608 16:35:12.753,145.417,4,0,0,59.3,0.000,0.00,0.00,0.00,interval
20260608 16:35:13.754,146.417,4,0,0,61.2,0.000,0.00,0.00,0.00,interval
20260608 16:35:14.755,147.417,4,0,0,62.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:15.770,148.433,4,0,0,64.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:16.771,149.433,4,0,0,65.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:17.786,150.450,4,0,0,67.2,0.000,0.00,0.00,0.00,interval
20260608 16:35:18.786,151.450,4,0,0,58.1,0.000,0.00,0.00,0.00,interval
20260608 16:35:19.787,152.450,4,0,0,40.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:20.787,153.450,4,0,0,26.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:21.787,154.450,4,0,0,17.2,0.000,0.00,0.00,0.00,interval
20260608 16:35:22.787,155.450,4,0,0,12.8,0.000,0.00,0.00,0.00,interval
20260608 16:35:23.788,156.450,4,0,0,14.0,0.000,0.00,0.00,0.00,interval
20260608 16:35:24.804,157.467,4,0,0,21.2,0.000,0.00,0.00,0.00,interval
20260608 16:35:25.821,158.483,4,0,0,25.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:26.837,159.500,4,0,0,26.1,0.000,0.00,0.00,0.00,interval
20260608 16:35:27.837,160.500,4,0,0,24.8,0.000,0.00,0.00,0.00,interval
20260608 16:35:28.837,161.500,4,0,0,24.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:29.854,162.517,4,0,0,21.0,0.000,0.00,0.00,0.00,interval
20260608 16:35:30.872,163.533,4,0,0,23.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:31.887,164.550,4,0,0,28.1,0.000,0.00,0.00,0.00,interval
20260608 16:35:32.904,165.567,4,0,0,29.2,0.000,0.00,0.00,0.00,interval
20260608 16:35:33.905,166.567,4,0,0,27.8,0.000,0.00,0.00,0.00,interval
20260608 16:35:34.920,167.583,4,0,0,21.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:35.920,168.583,4,0,0,17.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:36.937,169.600,4,0,0,15.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:37.937,170.600,4,0,0,16.1,0.000,0.00,0.00,0.00,interval
20260608 16:35:38.938,171.600,4,0,0,19.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:39.954,172.617,4,0,0,23.5,0.000,0.00,0.00,0.00,interval
20260608 16:35:40.955,173.617,4,0,0,20.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:41.970,174.633,4,0,0,14.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:42.987,175.650,4,0,0,14.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:43.987,176.650,4,0,0,18.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:44.989,177.650,4,0,0,25.3,0.000,0.00,0.00,0.00,interval
20260608 16:35:46.003,178.667,4,0,0,31.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:47.004,179.667,4,0,0,37.5,0.000,0.00,0.00,0.00,interval
20260608 16:35:48.021,180.683,4,0,0,41.8,0.000,0.00,0.00,0.00,interval
20260608 16:35:49.022,181.683,4,0,0,46.0,0.000,0.00,0.00,0.00,interval
20260608 16:35:50.022,182.683,4,0,0,49.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:51.038,183.700,4,0,0,52.6,0.000,0.00,0.00,0.00,interval
20260608 16:35:52.038,184.700,4,0,0,55.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:53.038,185.700,4,0,0,57.8,0.000,0.00,0.00,0.00,interval
20260608 16:35:54.039,186.700,4,0,0,60.0,0.000,0.00,0.00,0.00,interval
20260608 16:35:55.055,187.717,4,0,0,61.7,0.000,0.00,0.00,0.00,interval
20260608 16:35:56.072,188.733,4,0,0,63.4,0.000,0.00,0.00,0.00,interval
20260608 16:35:57.072,189.733,4,0,0,64.9,0.000,0.00,0.00,0.00,interval
20260608 16:35:58.089,190.750,4,0,0,66.3,0.000,0.00,0.00,0.00,interval
20260608 16:35:59.105,191.767,4,0,0,67.5,0.000,0.00,0.00,0.00,interval
20260608 16:36:00.122,192.783,4,0,0,68.5,0.000,0.00,0.00,0.00,interval
20260608 16:36:01.123,193.783,4,0,0,69.4,0.000,0.00,0.00,0.00,interval
20260608 16:36:02.138,194.800,4,0,0,70.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:03.139,195.800,4,0,0,70.8,0.000,0.00,0.00,0.00,interval
20260608 16:36:04.139,196.800,4,0,0,71.5,0.000,0.00,0.00,0.00,interval
20260608 16:36:05.156,197.817,4,0,0,55.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:06.156,198.817,4,0,0,39.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:07.172,199.833,4,0,0,27.2,0.000,0.00,0.00,0.00,interval
20260608 16:36:08.189,200.850,4,0,0,20.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:09.205,201.867,4,0,0,15.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:10.223,202.883,4,0,0,15.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:11.239,203.900,4,0,0,21.8,0.000,0.00,0.00,0.00,interval
20260608 16:36:12.239,204.900,4,0,0,27.4,0.000,0.00,0.00,0.00,interval
20260608 16:36:13.255,205.917,4,0,0,33.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:14.256,206.917,4,0,0,38.0,0.000,0.00,0.00,0.00,interval
20260608 16:36:15.271,207.933,4,0,0,42.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:16.271,208.933,4,0,0,44.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:17.272,209.933,4,0,0,48.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:18.288,210.950,4,0,0,51.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:19.289,211.950,4,0,0,54.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:20.289,212.950,4,0,0,56.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:21.305,213.967,4,0,0,58.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:22.307,214.967,4,0,0,60.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:23.322,215.983,4,0,0,62.2,0.000,0.00,0.00,0.00,interval
20260608 16:36:24.322,216.983,4,0,0,63.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:25.338,218.000,4,0,0,65.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:26.338,219.000,4,0,0,50.0,0.000,0.00,0.00,0.00,interval
20260608 16:36:27.339,220.000,4,0,0,34.4,0.000,0.00,0.00,0.00,interval
20260608 16:36:28.339,221.000,4,0,0,24.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:29.339,222.000,4,0,0,22.9,0.000,0.00,0.00,0.00,interval
20260608 16:36:30.339,223.000,4,0,0,23.4,0.000,0.00,0.00,0.00,interval
20260608 16:36:31.354,224.017,4,0,0,27.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:32.372,225.033,4,0,0,29.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:33.389,226.050,4,0,0,29.1,0.000,0.00,0.00,0.00,interval
20260608 16:36:34.389,227.050,4,0,0,31.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:35.390,228.050,4,0,0,33.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:36.407,229.067,4,0,0,34.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:37.422,230.083,4,0,0,38.2,0.000,0.00,0.00,0.00,interval
20260608 16:36:38.422,231.083,4,0,0,42.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:39.439,232.100,4,0,0,46.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:40.439,233.100,4,0,0,49.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:41.455,234.117,4,0,0,52.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:42.455,235.117,4,0,0,55.4,0.000,0.00,0.00,0.00,interval
20260608 16:36:43.472,236.133,4,0,0,58.0,0.000,0.00,0.00,0.00,interval
20260608 16:36:44.490,237.150,4,0,0,59.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:45.505,238.167,4,0,0,48.2,0.000,0.00,0.00,0.00,interval
20260608 16:36:46.506,239.167,4,0,0,40.8,0.000,0.00,0.00,0.00,interval
20260608 16:36:47.506,240.167,4,0,0,41.0,0.000,0.00,0.00,0.00,interval
20260608 16:36:48.523,241.183,4,0,0,42.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:49.523,242.183,4,0,0,42.3,0.000,0.00,0.00,0.00,interval
20260608 16:36:50.538,243.200,4,0,0,33.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:51.540,244.200,4,0,0,35.2,0.000,0.00,0.00,0.00,interval
20260608 16:36:52.554,245.217,4,0,0,38.7,0.000,0.00,0.00,0.00,interval
20260608 16:36:53.554,246.217,4,0,0,42.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:54.556,247.217,4,0,0,44.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:55.571,248.233,4,0,0,41.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:56.573,249.233,4,0,0,36.6,0.000,0.00,0.00,0.00,interval
20260608 16:36:57.588,250.250,4,0,0,33.9,0.000,0.00,0.00,0.00,interval
20260608 16:36:58.591,251.250,4,0,0,31.5,0.000,0.00,0.00,0.00,interval
20260608 16:36:59.606,252.267,4,0,0,29.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:00.606,253.267,4,0,0,27.2,0.000,0.00,0.00,0.00,interval
20260608 16:37:01.622,254.283,4,0,0,27.2,0.000,0.00,0.00,0.00,interval
20260608 16:37:02.622,255.283,4,0,0,30.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:03.622,256.283,4,0,0,35.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:04.639,257.300,4,0,0,40.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:05.656,258.317,4,0,0,45.2,0.000,0.00,0.00,0.00,interval
20260608 16:37:06.672,259.333,4,0,0,49.0,0.000,0.00,0.00,0.00,interval
20260608 16:37:07.689,260.350,4,0,0,52.0,0.000,0.00,0.00,0.00,interval
20260608 16:37:08.706,261.367,4,0,0,54.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:09.706,262.367,4,0,0,57.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:10.723,263.383,4,0,0,59.5,0.000,0.00,0.00,0.00,interval
20260608 16:37:11.739,264.400,4,0,0,61.2,0.000,0.00,0.00,0.00,interval
20260608 16:37:12.739,265.400,4,0,0,62.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:13.740,266.400,4,0,0,64.2,0.000,0.00,0.00,0.00,interval
20260608 16:37:14.756,267.417,4,0,0,65.5,0.000,0.00,0.00,0.00,interval
20260608 16:37:15.772,268.433,4,0,0,66.6,0.000,0.00,0.00,0.00,interval
20260608 16:37:16.772,269.433,4,0,0,67.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:17.789,270.450,4,0,0,68.6,0.000,0.00,0.00,0.00,interval
20260608 16:37:18.789,271.450,4,0,0,69.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:19.789,272.450,4,0,0,69.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:20.806,273.467,4,0,0,70.6,0.000,0.00,0.00,0.00,interval
20260608 16:37:21.810,274.467,4,0,0,71.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:22.822,275.483,4,0,0,72.0,0.000,0.00,0.00,0.00,interval
20260608 16:37:23.822,276.483,4,0,0,70.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:24.822,277.483,4,0,0,51.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:25.822,278.483,4,0,0,37.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:26.823,279.483,4,0,0,27.4,0.000,0.00,0.00,0.00,interval
20260608 16:37:27.838,280.500,4,0,0,20.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:28.838,281.500,4,0,0,18.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:29.856,282.517,4,0,0,24.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:30.872,283.550,4,0,0,29.6,0.000,0.00,0.00,0.00,interval
20260608 16:37:31.889,284.567,4,0,0,27.4,0.000,0.00,0.00,0.00,interval
20260608 16:37:32.890,285.567,4,0,0,23.1,0.000,0.00,0.00,0.00,interval
20260608 16:37:33.891,286.567,4,0,0,22.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:34.905,287.583,4,0,0,25.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:35.905,288.583,4,0,0,29.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:36.905,289.583,4,0,0,32.3,0.000,0.00,0.00,0.00,interval
20260608 16:37:37.906,290.583,4,0,0,32.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:38.908,291.583,4,0,0,27.0,0.000,0.00,0.00,0.00,interval
20260608 16:37:39.922,292.600,4,0,0,14.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:40.923,293.600,4,0,0,16.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:41.939,294.617,4,0,0,20.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:42.955,295.633,4,0,0,24.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:43.956,296.633,4,0,0,25.1,0.000,0.00,0.00,0.00,interval
20260608 16:37:44.956,297.633,4,0,0,18.5,0.000,0.00,0.00,0.00,interval
20260608 16:37:45.972,298.633,4,0,0,13.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:46.972,299.633,4,0,0,19.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:47.974,300.633,4,0,0,26.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:48.989,301.650,4,0,0,33.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:50.006,302.667,4,0,0,39.1,0.000,0.00,0.00,0.00,interval
20260608 16:37:51.023,303.683,4,0,0,43.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:52.038,304.700,4,0,0,47.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:53.038,305.700,4,0,0,50.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:54.038,306.700,4,0,0,53.9,0.000,0.00,0.00,0.00,interval
20260608 16:37:55.039,307.700,4,0,0,56.5,0.000,0.00,0.00,0.00,interval
20260608 16:37:56.039,308.700,4,0,0,58.8,0.000,0.00,0.00,0.00,interval
20260608 16:37:57.057,309.717,4,0,0,60.7,0.000,0.00,0.00,0.00,interval
20260608 16:37:58.071,310.733,4,0,0,62.5,0.000,0.00,0.00,0.00,interval
20260608 16:37:59.071,311.733,4,0,0,64.1,0.000,0.00,0.00,0.00,interval
20260608 16:38:00.071,312.733,4,0,0,65.5,0.000,0.00,0.00,0.00,interval
20260608 16:38:01.073,313.733,4,0,0,66.8,0.000,0.00,0.00,0.00,interval
20260608 16:38:02.073,314.733,4,0,0,67.9,0.000,0.00,0.00,0.00,interval
20260608 16:38:03.089,315.750,4,0,0,68.9,0.000,0.00,0.00,0.00,interval
20260608 16:38:04.091,316.750,4,0,0,69.6,0.000,0.00,0.00,0.00,interval
20260608 16:38:05.107,317.767,4,0,0,70.4,0.000,0.00,0.00,0.00,interval
20260608 16:38:06.123,318.783,4,0,0,71.1,0.000,0.00,0.00,0.00,interval
20260608 16:38:07.123,319.783,4,0,0,71.6,0.000,0.00,0.00,0.00,interval
20260608 16:38:08.140,320.800,4,0,0,53.9,0.000,0.00,0.00,0.00,interval
20260608 16:38:09.157,321.817,4,0,0,36.4,0.000,0.00,0.00,0.00,interval
20260608 16:38:10.173,322.833,4,0,0,21.6,0.000,0.00,0.00,0.00,interval
20260608 16:38:11.173,323.850,4,0,0,15.4,0.000,0.00,0.00,0.00,interval
20260608 16:38:12.190,324.867,4,0,0,15.5,0.000,0.00,0.00,0.00,interval
20260608 16:38:13.206,325.883,4,0,0,20.5,0.000,0.00,0.00,0.00,interval
20260608 16:38:14.207,326.883,4,0,0,26.6,0.000,0.00,0.00,0.00,interval
20260608 16:38:15.222,327.900,4,0,0,32.3,0.000,0.00,0.00,0.00,interval
20260608 16:38:16.223,328.900,4,0,0,37.3,0.000,0.00,0.00,0.00,interval
20260608 16:38:17.224,329.900,4,0,0,41.1,0.000,0.00,0.00,0.00,interval
20260608 16:38:18.238,330.917,4,0,0,45.0,0.000,0.00,0.00,0.00,interval
20260608 16:38:19.238,331.917,4,0,0,48.7,0.000,0.00,0.00,0.00,interval
20260608 16:38:20.239,332.917,4,0,0,51.8,0.000,0.00,0.00,0.00,interval
20260608 16:38:21.255,333.933,4,0,0,54.4,0.000,0.00,0.00,0.00,interval
20260608 16:38:22.257,334.933,4,0,0,56.6,0.000,0.00,0.00,0.00,interval
20260608 16:38:23.272,335.950,4,0,0,58.7,0.000,0.00,0.00,0.00,interval
20260608 16:38:24.287,336.967,4,0,0,60.6,122.147,0.00,0.00,0.00,interval
20260608 16:38:25.289,337.967,4,0,0,62.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:26.306,338.983,4,0,0,63.7,122.147,0.00,0.00,0.00,interval
20260608 16:38:27.306,339.983,4,0,0,65.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:28.306,340.983,4,0,0,53.0,122.147,0.00,0.00,0.00,interval
20260608 16:38:29.306,341.983,4,0,0,35.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:30.308,342.983,4,0,0,25.5,122.147,0.00,0.00,0.00,interval
20260608 16:38:31.323,344.000,4,0,0,22.2,122.147,0.00,0.00,0.00,interval
20260608 16:38:32.339,345.017,4,0,0,23.8,122.147,0.00,0.00,0.00,interval
20260608 16:38:33.356,346.033,4,0,0,27.6,122.147,0.00,0.00,0.00,interval
20260608 16:38:34.357,347.033,4,0,0,31.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:35.373,348.050,4,0,0,31.9,122.147,0.00,0.00,0.00,interval
20260608 16:38:36.373,349.033,4,0,0,35.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:37.389,350.050,4,0,0,39.2,122.147,0.00,0.00,0.00,interval
20260608 16:38:38.390,351.050,4,0,0,41.4,122.147,0.00,0.00,0.00,interval
20260608 16:38:39.390,352.050,4,0,0,44.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:40.390,353.050,4,0,0,47.6,122.147,0.00,0.00,0.00,interval
20260608 16:38:41.390,354.050,4,0,0,50.4,122.147,0.00,0.00,0.00,interval
20260608 16:38:42.407,355.067,4,0,0,53.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:43.423,356.083,4,0,0,55.9,122.147,0.00,0.00,0.00,interval
20260608 16:38:44.424,357.083,4,0,0,58.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:45.440,358.100,4,0,0,60.4,122.147,0.00,0.00,0.00,interval
20260608 16:38:46.456,359.133,4,0,0,56.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:47.456,360.133,4,0,0,44.4,122.147,0.00,0.00,0.00,interval
20260608 16:38:48.473,361.150,4,0,0,44.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:49.473,362.150,4,0,0,45.5,122.147,0.00,0.00,0.00,interval
20260608 16:38:50.489,363.167,4,0,0,43.9,122.147,0.00,0.00,0.00,interval
20260608 16:38:51.489,364.167,4,0,0,35.7,122.147,0.00,0.00,0.00,interval
20260608 16:38:52.490,365.167,4,0,0,37.3,122.147,0.00,0.00,0.00,interval
20260608 16:38:53.506,366.183,4,0,0,40.8,122.147,0.00,0.00,0.00,interval
20260608 16:38:54.522,367.200,4,0,0,45.1,122.147,0.00,0.00,0.00,interval
20260608 16:38:55.523,368.200,4,0,0,48.0,122.147,0.00,0.00,0.00,interval
20260608 16:38:56.539,369.200,4,0,0,42.8,122.147,0.00,0.00,0.00,interval
20260608 16:38:57.548,370.200,4,0,0,38.2,122.147,0.00,0.00,0.00,interval
